drug,disease
163,215
657,162
137,269
100,117
578,166
250,94
201,404
609,183
275,154
363,308
544,16
357,36
599,294
341,25
94,48
387,5
429,99
112,99
465,322
650,362
525,405
390,362
30,76
11,73
120,311
267,50
204,124
398,124
615,223
19,214
555,239
400,18
591,124
400,124
21,210
224,200
363,36
27,12
437,168
74,362
433,359
42,404
111,188
170,200
452,176
19,220
57,196
66,28
507,79
186,392
162,41
137,124
550,405
548,190
163,383
376,40
580,149
324,43
65,320
19,366
358,53
238,0
21,209
536,183
285,322
134,95
1,57
34,37
277,100
325,244
412,382
55,401
550,124
186,128
528,244
466,99
662,42
497,183
275,186
228,124
249,194
20,199
657,343
119,146
461,388
446,347
498,187
443,371
330,64
2,107
600,124
76,124
305,278
438,54
394,322
109,266
258,124
173,183
227,172
42,28
85,40
153,360
177,24
209,298
348,212
602,222
73,124
212,89
564,124
631,332
34,1
170,366
140,185
47,18
632,360
615,124
288,334
88,124
146,95
429,73
498,292
95,20
575,140
484,239
546,119
290,67
430,103
650,347
149,36
301,328
275,147
487,80
332,347
314,4
1,171
662,290
40,64
93,59
480,405
46,95
653,347
118,362
130,149
522,27
552,398
360,405
506,396
75,303
645,365
288,69
542,133
610,128
204,94
91,99
14,61
357,94
87,306
25,405
365,37
358,34
323,146
387,335
500,249
170,307
185,108
37,68
225,255
363,328
342,279
651,359
107,405
233,183
361,124
386,205
517,27
228,405
631,297
358,387
371,7
217,124
309,122
163,384
586,18
420,174
516,83
11,128
523,28
167,359
270,149
513,131
408,125
290,124
289,197
53,41
459,121
80,279
454,305
662,338
11,392
576,110
210,152
15,263
113,149
256,347
457,128
541,278
320,99
492,6
217,405
303,118
78,188
275,178
252,302
260,21
523,146
387,372
519,125
36,128
611,228
384,113
538,280
184,319
187,169
312,99
236,170
540,359
239,89
93,57
68,280
356,56
275,288
307,177
127,99
593,133
564,68
275,175
335,358
576,90
352,378
25,124
463,117
110,6
537,347
198,3
406,99
368,183
306,101
192,322
248,159
321,221
440,124
620,153
179,334
601,280
436,396
56,127
303,5
192,183
598,239
202,256
140,300
66,199
326,210
375,359
