DrugID,DiseaseID
DB00555,0
DB00949,0
DB01068,0
DB00190,1
DB00193,1
DB00230,1
DB00268,1
DB00413,1
DB00564,1
DB00575,1
DB00996,1
DB01068,1
DB01200,1
DB01235,1
DB05271,1
DB00282,2
DB00169,3
DB00282,3
DB00286,3
DB00399,3
DB00481,3
DB00603,3
DB00630,3
DB00710,3
DB00717,3
DB00783,3
DB00884,3
DB00977,3
DB00999,3
DB00712,4
DB00635,5
DB00687,5
DB00860,5
DB00331,6
DB00635,6
DB00834,6
DB01046,6
DB00215,7
DB00475,7
DB00575,7
DB00659,7
DB00704,7
DB00822,7
DB00904,7
DB00252,8
DB00313,8
DB00350,8
DB00421,8
DB00490,8
DB00532,8
DB00564,8
DB00620,8
DB00795,8
DB01216,8
DB00163,9
DB00313,9
DB00382,9
DB00674,9
DB00843,9
DB00989,9
DB01037,9
DB01043,9
DB00163,10
DB00382,10
DB00674,10
DB00843,10
DB00989,10
DB01037,10
DB01043,10
DB00984,11
DB01406,11
DB06196,11
DB06718,11
DB08804,11
DB00179,12
DB00544,12
DB00586,12
DB00724,12
DB00936,12
DB00992,12
DB00682,13
DB00945,13
DB00747,14
DB00745,15
DB00351,16
DB00470,16
DB00635,16
DB00959,16
DB01072,16
DB01157,16
DB01232,16
DB01216,17
DB00213,18
DB00338,18
DB00364,18
DB00448,18
DB00501,18
DB00585,18
DB00604,18
DB00736,18
DB00863,18
DB00883,18
DB00927,18
DB01019,18
DB01020,18
DB01129,18
DB01233,18
DB00242,19
DB00262,19
DB00290,19
DB00444,19
DB00541,19
DB00563,19
DB00987,19
DB01033,19
DB01073,19
DB01181,19
DB01204,19
DB00305,20
DB00385,20
DB00515,20
DB00563,20
DB00958,20
DB00997,20
DB00264,21
DB00335,21
DB00571,21
DB00598,21
DB00612,21
DB01203,21
DB04861,21
DB00434,22
DB00536,22
DB00755,23
DB00014,24
DB00282,24
DB00286,24
DB00351,24
DB00441,24
DB00445,24
DB00481,24
DB00544,24
DB00563,24
DB00570,24
DB00624,24
DB00675,24
DB00783,24
DB00947,24
DB00990,24
DB00997,24
DB01006,24
DB01101,24
DB01185,24
DB01217,24
DB01229,24
DB01248,24
DB01259,24
DB00544,25
DB00563,25
DB00650,25
DB00762,25
DB01101,25
DB00398,26
DB00257,27
DB00620,27
DB01099,27
DB01110,27
DB01167,27
DB01188,27
DB00204,28
DB00252,28
DB00280,28
DB00379,28
DB00571,28
DB00661,28
DB00908,28
DB01035,28
DB01064,28
DB01113,28
DB01118,28
DB01228,28
DB00661,29
DB00162,30
DB00963,31
DB00915,32
DB01174,33
DB00794,34
DB01174,34
DB00755,35
DB00381,36
DB00393,36
DB00682,36
DB00722,36
DB00758,36
DB00790,36
DB00806,36
DB00945,36
DB01219,36
DB00163,37
DB00190,37
DB00245,37
DB00268,37
DB00313,37
DB00382,37
DB00387,37
DB00413,37
DB00674,37
DB00747,37
DB00810,37
DB00843,37
DB00989,37
DB01043,37
DB00443,38
DB00635,38
DB00741,38
DB00936,38
DB01013,38
DB01188,38
DB01234,38
DB00035,39
DB00999,39
DB00222,40
DB00284,40
DB00331,40
DB00412,40
DB00414,40
DB00491,40
DB00672,40
DB00731,40
DB00839,40
DB00912,40
DB01016,40
DB01029,40
DB01067,40
DB01124,40
DB01132,40
DB01261,40
DB00222,41
DB00284,41
DB00331,41
DB00412,41
DB00414,41
DB00491,41
DB00672,41
DB00731,41
DB00839,41
DB00912,41
DB01016,41
DB01029,41
DB01067,41
DB01124,41
DB01132,41
DB01261,41
DB00104,42
DB08907,42
DB00222,43
DB00284,43
DB00331,43
DB00412,43
DB00414,43
DB00491,43
DB00672,43
DB00731,43
DB00839,43
DB00912,43
DB01016,43
DB01029,43
DB01067,43
DB01120,43
DB01124,43
DB01132,43
DB01261,43
DB00181,44
DB00242,44
DB00635,44
DB00745,44
DB00860,44
DB00915,44
DB00993,44
DB01204,44
DB01219,44
DB00653,45
DB00502,46
DB00181,47
DB00564,47
DB00014,48
DB00304,48
DB00367,48
DB00603,48
DB00717,48
DB00957,48
DB00977,48
DB01406,48
DB00215,49
DB00285,49
DB00472,49
DB00715,49
DB01104,49
DB00619,50
DB00794,51
DB00794,52
DB00794,53
DB00515,54
DB00563,54
DB00958,54
DB00328,55
DB00443,55
DB00620,55
DB00635,55
DB00788,55
DB01234,55
DB00328,56
DB00605,56
DB00788,56
DB00814,56
