drugID,diseaseID,label,split,count_drug,count_disease,q_score_PS,p_score_Target,p_score_Category,p_score_Conditions,p_score_Description,p_score_Mechanism,p_score_Pharmacodynamics,p_score_Smile,adj_q_score_PS,adj_p_score_Target,adj_p_score_Category,adj_p_score_Conditions,adj_p_score_Description,adj_p_score_Mechanism,adj_p_score_Pharmacodynamics,adj_p_score_Smile,coverage_count,num_preds
DB01234,161,0,train,1.0,18.0,0.200741,0.0,0.0217391304347826,0.0,0.7577294,0.63416076,0.71058756,0.027027027027027,0.200741,0.0,0.3913043478260868,0.0,13.6391292,11.41489368,12.79057608,0.486486486486486,5,0
DB00361,148,0,train,1.0,1.0,0.076735,0.0,0.0408163265306122,0.0,0.5984206,0.6920859,0.7662204,0.1071428571428571,0.076735,0.0,0.0408163265306122,0.0,0.5984206,0.6920859,0.7662204,0.1071428571428571,5,0
DB00783,88,0,train,5.0,4.0,0.269756,0.1,0.0689655172413793,0.0,0.7829576,0.7265557,0.7983719,0.1265822784810126,1.34878,0.4,0.2758620689655172,0.0,3.1318304,2.9062228,3.1934876,0.5063291139240504,5,0
DB00736,192,0,train,0.0,3.0,0.083331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB00795,405,0,train,55.0,2.0,0.150748,0.0833333333333333,0.1020408163265306,0.0,0.8873359,0.8548264,0.73519725,0.2695652173913043,8.29114,0.1666666666666666,0.2040816326530612,0.0,1.7746718,1.7096528,1.4703945,0.5391304347826086,5,0
DB00884,196,0,train,12.0,4.0,0.280127,0.0,0.0833333333333333,0.0,0.864459,0.7810607,0.7151797,0.125,3.361524,0.0,0.3333333333333332,0.0,3.457836,3.1242428,2.8607188,0.5,5,0
DB00241,168,0,train,6.0,2.0,0.0,0.6956521739130435,0.0975609756097561,0.0,0.8713908,0.79101884,0.8115294,0.0925925925925925,0.0,1.391304347826087,0.1951219512195122,0.0,1.7427816,1.58203768,1.6230588,0.185185185185185,5,0
DB01254,154,0,train,1.0,2.0,0.186464,0.0,0.0933333333333333,0.0,0.7676153,0.81683433,0.7930859,0.1224489795918367,0.186464,0.0,0.1866666666666666,0.0,1.5352306,1.63366866,1.5861718,0.2448979591836734,5,0
DB01223,182,0,train,6.0,3.0,0.224918,0.0,0.0338983050847457,0.0,0.8838389,0.9000466,0.81041086,0.1171171171171171,1.3495080000000002,0.0,0.1016949152542371,0.0,2.6515167,2.7001398,2.43123258,0.3513513513513513,5,0
DB00325,208,0,train,11.0,2.0,0.140161,0.0,0.0149253731343283,0.0,0.84347653,0.7315621,0.6356026,0.0147058823529411,1.541771,0.0,0.0298507462686566,0.0,1.68695306,1.4631242,1.2712052,0.0294117647058822,5,0
