drugID,diseaseID,label,split,count_drug,count_disease,q_score_PS,p_score_Target,p_score_Category,p_score_Conditions,p_score_Description,p_score_Mechanism,p_score_Pharmacodynamics,p_score_Smile,adj_q_score_PS,adj_p_score_Target,adj_p_score_Category,adj_p_score_Conditions,adj_p_score_Description,adj_p_score_Mechanism,adj_p_score_Pharmacodynamics,adj_p_score_Smile
DB00213,163,1,train,14.0,2.0,0.164217,1.0,0.7222222222222222,0.0,0.9545273,0.80050457,0.8824972,0.5053763440860215,2.299038,2.0,1.4444444444444444,0.0,1.9090546,1.60100914,1.7649944,1.010752688172043
DB01076,80,1,train,7.0,2.0,0.737845,0.4,0.6,0.0,0.9984642,0.92518914,0.9901743,0.4452554744525547,5.164915,0.8,1.2,0.0,1.9969284,1.85037828,1.9803486,0.8905109489051094
DB00500,73,1,train,28.0,3.0,0.776582,1.0,0.7083333333333334,0.0,0.92675215,0.89837,0.8392611,0.4069767441860465,21.744296,3.0,2.125,0.0,2.78025645,2.69511,2.5177833,1.2209302325581397
DB01113,146,1,train,7.0,1.0,0.086244,0.0555555555555555,0.1111111111111111,0.0,0.8318011,0.7884852,0.887992,0.2689075630252101,0.603708,0.0555555555555555,0.1111111111111111,0.0,0.8318011,0.7884852,0.887992,0.2689075630252101
DB00195,68,1,train,10.0,1.0,0.114234,1.0,0.7272727272727273,0.0,0.8980495,0.8995259,0.8173806,0.2903225806451613,1.14234,1.0,0.7272727272727273,0.0,0.8980495,0.8995259,0.8173806,0.2903225806451613
DB01235,259,1,train,15.0,8.0,0.517447,0.7142857142857143,0.2758620689655172,0.0,0.92413,0.8449334,0.81718135,0.2297297297297297,7.761705,5.714285714285714,2.206896551724137,0.0,7.39304,6.7594672,6.5374508,1.8378378378378373
DB00788,73,1,train,28.0,9.0,0.776582,0.6666666666666666,0.6326530612244898,0.0,0.9722893,0.94433886,0.9024849,0.5833333333333334,21.744296,6.0,5.6938775510204085,0.0,8.750603700000001,8.49904974,8.1223641,5.25
DB00399,341,1,train,4.0,6.0,0.303915,0.5,0.875,0.0,0.8875502,1.0,0.8431301,0.5178571428571429,1.21566,3.0,5.25,0.0,5.3253012,6.0,5.0587806,3.1071428571428577
DB01050,181,1,train,16.0,8.0,0.453417,0.25,0.5,0.0,0.85859275,0.94172573,0.8864913,0.4032258064516129,7.254672,2.0,4.0,0.0,6.868742,7.53380584,7.0919304,3.225806451612903
DB01186,136,1,train,12.0,6.0,0.555551,0.8235294117647058,0.3902439024390244,0.0,0.7888823,0.8272021,0.8460039,0.35,6.666612000000001,4.941176470588236,2.341463414634146,0.0,4.7332938,4.9632126,5.0760234,2.1
