DrugID,DiseaseID
DB00158,MESH:D000013
DB00400,MESH:D000013
DB00523,MESH:D000013
DB00541,MESH:D000013
DB00668,MESH:D000013
DB00252,MESH:D000014
DB00438,MESH:D000014
DB00495,MESH:D000014
DB00564,MESH:D000014
DB00688,MESH:D000014
DB00698,MESH:D000014
DB00783,MESH:D000014
DB00819,MESH:D000014
DB00904,MESH:D000014
DB00907,MESH:D000014
DB00997,MESH:D000014
DB01050,MESH:D000014
DB01242,MESH:D000014
DB06710,MESH:D000014
DB06774,MESH:D000014
DB09061,MESH:D000014
DB00347,MESH:D000015
DB00459,MESH:D000015
DB00564,MESH:D000015
DB00982,MESH:D000015
DB09130,MESH:D000015
DB00834,MESH:D000022
DB00982,MESH:D000022
DB08882,MESH:D000068079
DB00317,MESH:D000077192
DB01169,MESH:D000077192
DB00290,MESH:D000077195
DB01234,MESH:D000077216
DB00152,MESH:D000138
DB00297,MESH:D000138
DB00503,MESH:D000138
DB00586,MESH:D000138
DB00703,MESH:D000138
DB00818,MESH:D000138
DB00819,MESH:D000138
DB00863,MESH:D000138
DB00898,MESH:D000138
DB01053,MESH:D000138
DB01159,MESH:D000138
DB00627,MESH:D000140
DB00649,MESH:D000140
DB00668,MESH:D000140
DB00898,MESH:D000140
DB01016,MESH:D000140
DB00428,MESH:D000141
DB01099,MESH:D000141
DB01356,MESH:D000141
DB00717,MESH:D000152
DB00755,MESH:D000152
DB00957,MESH:D000152
DB01406,MESH:D000152
DB04839,MESH:D000152
DB00847,MESH:D000163
DB00943,MESH:D000163
DB00183,MESH:D000230
DB00255,MESH:D000230
DB00257,MESH:D000230
DB00262,MESH:D000230
DB00293,MESH:D000230
DB00309,MESH:D000230
DB00313,MESH:D000230
DB00428,MESH:D000230
DB00441,MESH:D000230
DB00882,MESH:D000230
DB01169,MESH:D000230
DB01174,MESH:D000230
DB01436,MESH:D000230
DB02709,MESH:D000230
DB00158,MESH:D000236
DB00605,MESH:D000236
DB01406,MESH:D000236
DB04630,MESH:D000236
DB04930,MESH:D000236
DB11672,MESH:D000236
DB04839,MESH:D000303
DB01011,MESH:D000307
DB00351,MESH:D000309
DB00620,MESH:D000309
DB00208,MESH:D000380
DB00328,MESH:D000380
DB00446,MESH:D000380
DB00599,MESH:D000380
DB00613,MESH:D000380
DB00679,MESH:D000380
DB00763,MESH:D000380
DB00795,MESH:D000380
DB00845,MESH:D000380
DB00848,MESH:D000380
DB01035,MESH:D000380
DB01050,MESH:D000380
DB00474,MESH:D000402
DB00668,MESH:D000402
DB00722,MESH:D000402
DB01411,MESH:D000402
DB00197,MESH:D000419
DB00275,MESH:D000419
DB00428,MESH:D000419
DB00688,MESH:D000419
DB00864,MESH:D000419
DB00999,MESH:D000419
DB01181,MESH:D000419
DB01599,MESH:D000419
DB09121,MESH:D000419
DB09220,MESH:D000419
DB09235,MESH:D000419
DB00158,MESH:D000430
DB00186,MESH:D000430
DB00273,MESH:D000437
DB00334,MESH:D000437
DB00746,MESH:D000437
DB01577,MESH:D000437
DB06230,MESH:D000437
DB00479,MESH:D000471
DB00594,MESH:D000471
DB00687,MESH:D000471
DB00695,MESH:D000471
DB08804,MESH:D000471
DB00238,MESH:D000505
DB00309,MESH:D000505
DB00648,MESH:D000505
DB00987,MESH:D000505
DB00997,MESH:D000505
DB01065,MESH:D000505
DB01174,MESH:D000505
DB04839,MESH:D000505
DB06774,MESH:D000505
DB00635,MESH:D000506
DB00014,MESH:D000544
DB00115,MESH:D000544
DB00158,MESH:D000544
DB00627,MESH:D000544
DB00746,MESH:D000544
DB01592,MESH:D000544
DB09130,MESH:D000544
DB11672,MESH:D000544
DB12129,MESH:D000544
DB00391,MESH:D000568
DB01041,MESH:D000568
DB01104,MESH:D000568
DB01234,MESH:D000568
DB00122,MESH:D000647
DB00126,MESH:D000647
DB00186,MESH:D000647
DB00202,MESH:D000647
DB00371,MESH:D000647
DB00395,MESH:D000647
DB00624,MESH:D000647
DB00674,MESH:D000647
DB00753,MESH:D000647
DB00783,MESH:D000647
DB00818,MESH:D000647
DB01065,MESH:D000647
DB01164,MESH:D000647
DB01221,MESH:D000647
DB01400,MESH:D000647
DB01544,MESH:D000647
DB13345,MESH:D000647
DB00466,MESH:D000648
DB00818,MESH:D000648
DB01394,MESH:D000686
DB01069,MESH:D000690
DB01200,MESH:D000690
DB09130,MESH:D000690
DB00328,MESH:D000707
DB00443,MESH:D000707
DB00448,MESH:D000707
DB00493,MESH:D000707
DB00565,MESH:D000707
DB00605,MESH:D000707
DB00759,MESH:D000707
DB00818,MESH:D000707
DB00951,MESH:D000707
DB01026,MESH:D000707
DB01050,MESH:D000707
DB01053,MESH:D000707
DB01110,MESH:D000707
DB01112,MESH:D000707
DB01212,MESH:D000707
DB01248,MESH:D000707
DB00091,MESH:D000740
DB00115,MESH:D000740
DB00220,MESH:D000740
DB00281,MESH:D000740
DB00309,MESH:D000740
DB00312,MESH:D000740
DB00399,MESH:D000740
DB00495,MESH:D000740
DB00499,MESH:D000740
DB00501,MESH:D000740
DB00544,MESH:D000740
DB00564,MESH:D000740
DB00643,MESH:D000740
DB00688,MESH:D000740
DB00746,MESH:D000740
DB00864,MESH:D000740
DB00915,MESH:D000740
DB00943,MESH:D000740
DB01033,MESH:D000740
DB01216,MESH:D000740
DB01330,MESH:D000740
DB01373,MESH:D000740
DB03783,MESH:D000740
DB05088,MESH:D000740
DB07565,MESH:D000740
DB11081,MESH:D000740
DB11136,MESH:D000740
DB12783,MESH:D000740
DB00205,MESH:D000741
DB00242,MESH:D000741
DB00532,MESH:D000741
DB00759,MESH:D000741
DB00819,MESH:D000741
DB00908,MESH:D000741
DB01050,MESH:D000741
DB01056,MESH:D000741
