DrugID,DiseaseID,numPreds
DB09140,MESH:D000013,40
DB09140,MESH:D000014,40
DB09140,MESH:D000799,40
DB09140,MESH:D000860,40
DB09140,MESH:D001145,40
DB09140,MESH:D001172,40
DB09140,MESH:D001919,40
DB09140,MESH:D001943,40
DB09140,MESH:D001997,40
DB09140,MESH:D002289,40
DB09140,MESH:D002303,40
DB09140,MESH:D002312,40
DB09140,MESH:D002545,40
DB09140,MESH:D002546,27
DB09140,MESH:D003128,40
DB09140,MESH:D003329,40
DB09140,MESH:D003490,40
DB09140,MESH:D003556,40
DB09140,MESH:D003929,40
DB09140,MESH:D004195,40
DB09140,MESH:D004487,40
DB09140,MESH:D005317,40
DB09140,MESH:D005355,40
DB09140,MESH:D005767,40
DB09140,MESH:D006327,40
DB09140,MESH:D006332,40
DB09140,MESH:D006417,40
DB09140,MESH:D006470,40
DB09140,MESH:D006505,40
DB09140,MESH:D006973,40
DB09140,MESH:D006976,40
DB09140,MESH:D007006,40
DB09140,MESH:D007022,40
DB09140,MESH:D007232,40
DB09140,MESH:D007247,40
DB09140,MESH:D007249,40
DB09140,MESH:D007333,40
DB09140,MESH:D007511,40
DB09140,MESH:D007674,40
DB09140,MESH:D008107,40
DB09140,MESH:D008175,40
DB09140,MESH:D008569,40
DB09140,MESH:D009069,40
DB09140,MESH:D009202,40
DB09140,MESH:D009203,40
DB09140,MESH:D009336,40
DB09140,MESH:D009361,40
DB09140,MESH:D009362,40
DB09140,MESH:D009369,40
DB09140,MESH:D009389,40
DB09140,MESH:D009410,40
DB09140,MESH:D009461,40
DB09140,MESH:D010996,40
DB09140,MESH:D011014,40
DB09140,MESH:D011183,40
DB09140,MESH:D011225,40
DB09140,MESH:D011507,40
DB09140,MESH:D011654,40
DB09140,MESH:D011658,40
DB09140,MESH:D012128,40
DB09140,MESH:D012164,40
DB09140,MESH:D012178,40
DB09140,MESH:D012640,40
DB09140,MESH:D013272,39
DB09140,MESH:D013276,40
DB09140,MESH:D013398,40
DB09140,MESH:D013610,40
DB09140,MESH:D013733,40
DB09140,MESH:D014839,40
DB09140,MESH:D015428,40
DB09140,MESH:D015431,40
DB09140,MESH:D015861,40
DB09140,MESH:D018450,40
DB09140,MESH:D018487,40
DB09140,MESH:D018496,40
DB09140,MESH:D018754,40
DB09140,MESH:D018921,40
DB09140,MESH:D019954,40
DB09140,MESH:D020244,40
DB09140,MESH:D020345,40
DB09140,MESH:D050197,40
DB09140,MESH:D055370,40
DB09140,MESH:D055371,40
DB09140,MESH:D056486,40
DB09140,MESH:D057772,40
DB09140,MESH:D058186,40
DB09140,MESH:D064726,2
DB09140,MESH:D066253,40
DB00730,MESH:D000013,40
DB00730,MESH:D001744,40
DB00730,MESH:D001749,40
DB00730,MESH:D002779,40
DB00730,MESH:D006417,0
DB00730,MESH:D006869,40
DB00730,MESH:D007669,40
DB00730,MESH:D007674,40
DB00730,MESH:D008103,40
DB00730,MESH:D008107,40
DB00730,MESH:D009336,40
DB00730,MESH:D011537,26
DB00730,MESH:D012859,40
DB00730,MESH:D013262,40
DB00730,MESH:D020261,40
DB00730,MESH:D056486,40
DB00898,MESH:D000013,40
DB00898,MESH:D000014,40
DB00898,MESH:D000236,40
DB00898,MESH:D000303,40
DB00898,MESH:D000402,40
DB00898,MESH:D000430,40
DB00898,MESH:D000435,40
DB00898,MESH:D000437,40
DB00898,MESH:D000647,40
DB00898,MESH:D000853,40
DB00898,MESH:D000855,40
DB00898,MESH:D001008,40
DB00898,MESH:D001068,40
DB00898,MESH:D001247,40
DB00898,MESH:D001259,40
DB00898,MESH:D001281,40
DB00898,MESH:D001284,40
DB00898,MESH:D001289,40
DB00898,MESH:D001342,40
DB00898,MESH:D001714,40
DB00898,MESH:D001766,40
DB00898,MESH:D001835,40
DB00898,MESH:D001851,40
DB00898,MESH:D001862,40
DB00898,MESH:D001919,40
DB00898,MESH:D001927,40
DB00898,MESH:D001929,40
DB00898,MESH:D001930,40
DB00898,MESH:D001943,40
DB00898,MESH:D002310,40
DB00898,MESH:D002311,40
DB00898,MESH:D002318,40
DB00898,MESH:D002386,40
DB00898,MESH:D002493,40
