drugID,diseaseID,label,split,count_drug,count_disease,q_score_Description,q_score_Pathway,q_score_Slim,p_score_Target,p_score_Category,p_score_Conditions,p_score_Description,p_score_Mechanism,p_score_Pharmacodynamics,p_score_Smile,adj_q_score_Description,adj_q_score_Pathway,adj_q_score_Slim,adj_p_score_Target,adj_p_score_Category,adj_p_score_Conditions,adj_p_score_Description,adj_p_score_Mechanism,adj_p_score_Pharmacodynamics,adj_p_score_Smile,coverage_count,num_preds
DB06637,MESH:D007627,0,train,1.0,11.0,0.65694976,0.2222222222222222,0.5,0.0,0.02,0.0,0.44422793,0.76759934,0.73183376,0.1147540983606557,0.65694976,0.2222222222222222,0.5,0.0,0.22,0.0,4.88650723,8.44359274,8.05017136,1.2622950819672127,5,0
DB00183,MESH:D007972,0,train,1.0,6.0,0.6308491,0.1783439490445859,0.3333333333333333,0.0,0.0,0.0,0.7955364,0.7581346,0.75789845,0.1111111111111111,0.6308491,0.1783439490445859,0.3333333333333333,0.0,0.0,0.0,4.7732184,4.5488076,4.5473907,0.6666666666666666,5,0
DB00822,MESH:D005715,0,train,5.0,102.0,0.52016425,0.6153846153846154,1.0,0.0,0.125,0.0,0.7434293,0.8509543,0.6888755,0.0512820512820512,2.60082125,3.076923076923077,5.0,0.0,12.75,0.0,75.8297886,86.7973386,70.265301,5.230769230769222,5,0
DB01606,MESH:D016535,0,train,10.0,1.0,0.54991925,0.1775700934579439,0.0,0.0,0.1111111111111111,0.0,0.7896896,0.8051384,0.8073876,0.146788990825688,5.4991925,1.7757009345794388,0.0,0.0,0.1111111111111111,0.0,0.7896896,0.8051384,0.8073876,0.146788990825688,5,0
DB01892,MESH:D005910,0,train,27.0,1.0,0.4715402,0.33729216152019,0.0,0.3333333333333333,0.054054054054054,0.0,0.6356586,0.8434419,0.86006093,0.1714285714285714,12.7315854,9.10688836104513,0.0,0.3333333333333333,0.054054054054054,0.0,0.6356586,0.8434419,0.86006093,0.1714285714285714,5,0
DB00695,MESH:D008545,0,train,43.0,85.0,0.8038977,0.5857329842931938,1.0,0.0,0.1153846153846153,0.0,0.8371348,0.83776796,0.8596723,0.2222222222222222,34.567601100000005,25.18651832460733,43.0,0.0,9.8076923076923,0.0,71.156458,71.2102766,73.07214549999999,18.88888888888889,5,0
DB09282,MESH:D042882,0,train,13.0,6.0,0.5712254,0.198170731707317,0.0,0.0,0.0714285714285714,0.0,0.8545252,0.8663857,0.7216909,0.15,7.4259302,2.576219512195121,0.0,0.0,0.4285714285714284,0.0,5.1271512,5.1983142,4.3301454,0.8999999999999999,5,0
DB06709,MESH:D003930,0,train,8.0,10.0,0.7537863,0.2923976608187134,0.3333333333333333,0.0,0.0166666666666666,0.0,0.7756216,0.7841695,0.78150785,0.1309523809523809,6.0302904,2.339181286549707,2.6666666666666665,0.0,0.166666666666666,0.0,7.756216,7.841695,7.8150785,1.309523809523809,5,0
DB00575,MESH:D056929,0,train,2.0,84.0,0.80683285,0.125,0.6666666666666666,0.0,0.0483870967741935,0.05,0.8293692,0.7353952,0.6531044,0.1126760563380281,1.6136657,0.25,1.3333333333333333,0.0,4.064516129032254,4.2,69.66701280000001,61.7731968,54.860769600000005,9.46478873239436,5,0
DB01327,MESH:D000690,0,train,14.0,14.0,0.7321161,0.4207317073170732,0.0,0.0064935064935064,0.2,0.0,0.8223147,0.8821313,0.7445911,0.1229050279329608,10.2496254,5.890243902439025,0.0,0.0909090909090896,2.8000000000000003,0.0,11.5124058,12.3498382,10.4242754,1.7206703910614514,5,0
DB00727,MESH:D011657,0,train,9.0,70.0,0.760796,0.25,0.5,0.0,0.032258064516129,0.0666666666666666,0.8327716,0.8429823,0.80254555,0.0542635658914728,6.847164,2.25,4.5,0.0,2.25806451612903,4.666666666666662,58.294012,59.008761,56.178188500000005,3.798449612403096,5,0
DB00687,MESH:D049188,0,train,37.0,13.0,0.615211,0.1173469387755101,0.0,0.1666666666666666,0.1975308641975308,0.0185185185185185,0.8596539,0.8371422,0.81240654,0.5102040816326531,22.762807,4.3418367346938735,0.0,2.1666666666666656,2.5679012345679,0.2407407407407405,11.1755007,10.8828486,10.56128502,6.63265306122449,5,0
DB00356,MESH:D012512,0,train,5.0,8.0,0.6439135,0.0666666666666666,0.0,0.0,0.125,0.0,0.6816703,0.6772631,0.723017,0.096,3.2195675,0.333333333333333,0.0,0.0,1.0,0.0,5.4533624,5.4181048,5.784136,0.768,5,0
DB01004,MESH:D065886,0,train,1.0,16.0,0.550423,0.3835005574136009,0.5,0.0,0.0483870967741935,0.0,0.6687092,0.79447854,0.64892906,0.0467289719626168,0.550423,0.3835005574136009,0.5,0.0,0.774193548387096,0.0,10.6993472,12.71165664,10.38286496,0.7476635514018688,5,0
DB00362,MESH:D016534,0,train,8.0,3.0,0.604825,0.0,0.0,0.0,0.0,0.0,0.7733586,0.7911025,0.76471287,0.1338582677165354,4.8386,0.0,0.0,0.0,0.0,0.0,2.3200758,2.3733075,2.29413861,0.4015748031496061,5,0
DB03701,MESH:D006869,0,train,17.0,4.0,0.6729677,0.0972222222222222,0.0,0.0714285714285714,0.1081081081081081,0.0,0.77716535,0.79300964,0.7346438,0.2569832402234637,11.440450899999998,1.6527777777777772,0.0,0.2857142857142856,0.4324324324324324,0.0,3.1086614,3.17203856,2.9385752,1.0279329608938548,5,0
DB00816,MESH:D018921,0,train,3.0,8.0,0.71912086,0.1734234234234234,0.0,0.0,0.0,0.0,0.8152785,0.8196328,0.7202151,0.0956521739130434,2.15736258,0.5202702702702702,0.0,0.0,0.0,0.0,6.522228,6.5570624,5.7617208,0.7652173913043472,5,0
DB06800,MESH:D011546,0,train,1.0,1.0,0.5329941,0.1269841269841269,0.0,0.0,0.0597014925373134,0.0,0.83626914,0.67816055,0.80644953,0.1007751937984496,0.5329941,0.1269841269841269,0.0,0.0,0.0597014925373134,0.0,0.83626914,0.67816055,0.80644953,0.1007751937984496,5,0
DB04957,MESH:D017544,0,train,7.0,6.0,0.71627647,0.2586206896551724,0.5,0.0,0.1746031746031746,0.0,0.66925657,0.8276548,0.8104974,0.2196969696969697,5.01393529,1.8103448275862064,3.5,0.0,1.0476190476190474,0.0,4.0155394200000005,4.9659288,4.8629844,1.318181818181818,5,0
DB00634,MESH:D059350,0,train,1.0,1.0,0.49887675,0.0017331022530329,0.0,0.0,0.0,0.0,0.80954915,0.5771787,0.51349556,0.0833333333333333,0.49887675,0.0017331022530329,0.0,0.0,0.0,0.0,0.80954915,0.5771787,0.51349556,0.0833333333333333,5,0
DB00932,MESH:D052878,0,train,15.0,3.0,0.64119625,0.2352941176470588,0.0,1.0,0.4901960784313725,1.0,0.9185363,0.90801066,0.95842326,0.2564102564102564,9.61794375,3.529411764705882,0.0,3.0,1.4705882352941173,3.0,2.7556089,2.72403198,2.87526978,0.7692307692307692,5,0
DB01003,MESH:D011547,0,train,1.0,13.0,0.6778275,0.1034482758620689,0.25,0.0,0.0178571428571428,0.0,0.7589879,0.75704396,0.63427436,0.0535714285714285,0.6778275,0.1034482758620689,0.25,0.0,0.2321428571428564,0.0,9.8668427,9.84157148,8.24556668,0.6964285714285705,5,0
DB01299,MESH:D018589,0,train,5.0,1.0,0.70076275,0.0176730486008837,0.3333333333333333,0.0,0.0188679245283018,0.0,0.76368046,0.8184867,0.63449144,0.2032520325203252,3.50381375,0.0883652430044185,1.6666666666666663,0.0,0.0188679245283018,0.0,0.76368046,0.8184867,0.63449144,0.2032520325203252,5,0
