drugID,diseaseID,label,split,count_drug,count_disease,q_score_Description,q_score_Pathway,q_score_Slim,p_score_Target,p_score_Category,p_score_Conditions,p_score_Description,p_score_Mechanism,p_score_Pharmacodynamics,p_score_Smile,adj_q_score_Description,adj_q_score_Pathway,adj_q_score_Slim,adj_p_score_Target,adj_p_score_Category,adj_p_score_Conditions,adj_p_score_Description,adj_p_score_Mechanism,adj_p_score_Pharmacodynamics,adj_p_score_Smile
DB01200,MESH:D011658,1,train,32.0,92.0,0.8358444,0.5625,0.5,0.9444444444444444,0.56,0.2,0.9296019,1.0000001,0.99898994,0.3333333333333333,26.7470208,18.0,16.0,86.88888888888889,51.52,18.4,85.5233748,92.0000092,91.90707448,30.666666666666664
DB01035,MESH:D001714,1,train,130.0,62.0,0.7802099,0.3796033994334278,0.5,0.25,0.1967213114754098,0.0869565217391304,0.8250012,0.9238259,0.8285522,0.463768115942029,101.427287,49.348441926345615,65.0,15.5,12.196721311475407,5.391304347826085,51.1500744,57.2772058,51.3702364,28.7536231884058
DB01396,MESH:D001145,1,train,175.0,28.0,0.8328964,0.3837638376383764,1.0,1.0,0.5,0.4,0.9300802,0.9976543,0.864939,0.8650306748466258,145.75687,67.15867158671587,175.0,28.0,14.0,11.2,26.0422456,27.9343204,24.218292,24.22085889570552
DB01268,MESH:D002292,1,train,26.0,24.0,0.8054942,0.4605704697986577,0.6666666666666666,0.0,0.2962962962962963,0.0,0.88770705,0.8669982,0.67616355,0.1773049645390071,20.9428492,11.9748322147651,17.333333333333332,0.0,7.111111111111111,0.0,21.3049692,20.8079568,16.227925199999998,4.25531914893617
DB00945,MESH:D011087,1,train,4.0,217.0,0.8281234,0.7578125,0.5,0.0,0.0689655172413793,0.0147058823529411,0.80820185,0.77616274,0.77721584,0.1217391304347826,3.3124936,3.03125,2.0,0.0,14.965517241379308,3.191176470588218,175.37980145,168.42731458,168.65583728,26.417391304347824
DB00898,MESH:D006417,1,train,70.0,180.0,0.7550535,0.4383561643835616,0.6666666666666666,0.293103448275862,0.2153846153846154,0.1111111111111111,0.7289311,0.83149445,0.83663607,0.1428571428571428,52.853745,30.684931506849317,46.66666666666666,52.75862068965516,38.76923076923077,20.0,131.20759800000002,149.669001,150.5944926,25.7142857142857
DB00476,MESH:D003928,1,train,35.0,20.0,0.8691103,0.423728813559322,0.6666666666666666,0.0,0.2,0.2142857142857142,0.89529884,0.8565465,0.8475394,0.2828282828282828,30.4188605,14.83050847457627,23.33333333333333,0.0,4.0,4.285714285714284,17.9059768,17.13093,16.950788000000003,5.656565656565657
DB00529,MESH:D007674,1,train,200.0,37.0,0.8243966,0.4755838641188959,1.0,0.3333333333333333,0.2727272727272727,0.125,0.9285025,0.90937173,0.87679493,0.1914893617021276,164.87932,95.1167728237792,200.0,12.333333333333332,10.09090909090909,4.625,34.3545925,33.64675401,32.44141241,7.085106382978721
DB01224,MESH:D019967,1,train,4.0,52.0,0.8599422,0.1081081081081081,1.0,0.5405405405405406,0.4705882352941176,0.4666666666666667,0.94582427,0.8499826,0.83821154,0.3714285714285714,3.4397688,0.4324324324324324,4.0,28.10810810810811,24.47058823529412,24.266666666666666,49.18286204,44.1990952,43.58700008,19.314285714285717
DB00864,MESH:D006212,1,train,156.0,148.0,0.6904608,0.3043478260869565,1.0,0.0,0.3770491803278688,0.1470588235294117,0.86147696,0.84403014,0.8646116,0.2270916334661354,107.7118848,47.47826086956521,156.0,0.0,55.803278688524586,21.764705882352928,127.49859008,124.91646072,127.9625168,33.60956175298804
