drug_ID,disease_ID
DB00696,D300125
DB00481,D102500
DB01359,D161900
DB01075,D608088
DB00114,D217200
DB01225,D231200
DB01110,D114580
DB00715,D252320
DB01070,D146255
DB01101,D176807
DB00776,D607682
DB00982,D604416
DB00672,D125853
DB01185,D215470
DB00475,D226150
DB02546,D254400
DB00268,D125320
DB00861,D147530
DB00603,D144700
DB01148,D231200
DB01162,D600082
DB01577,D303110
DB01234,D152700
DB01204,D247640
DB01016,D125850
DB00421,D608622
DB01234,D601608
DB00575,D147530
DB00575,D608622
DB00448,D109350
DB00678,D146255
DB00500,D140600
DB00351,D109100
DB00993,D266600
DB00624,D241100
DB00187,D608622
DB01577,D264120
DB00327,D147530
DB00215,D225755
DB00682,D608583
DB01248,D155600
DB00284,D600496
DB00500,D607459
DB01030,D182280
DB00584,D146255
DB00414,D125853
DB00860,D215140
DB00458,D147530
DB00668,D601682
DB00273,D607499
DB00328,D133690
DB01101,D276300
DB00758,D125310
DB00887,D161900
DB00242,D258360
DB00661,D607554
DB00373,D137760
DB00563,D254400
DB00542,D608622
DB01203,D110100
DB01244,D608622
DB00731,D125850
DB00186,D252320
DB01196,D601518
DB00603,D192000
DB01296,D607850
DB00863,D304790
DB01223,D600807
DB01188,D114580
DB01181,D276300
DB00190,D168100
DB00328,D208230
DB01194,D601682
DB00337,D233810
DB00203,D161900
DB00193,D147530
DB00860,D146850
DB00749,D607850
DB00457,D600082
DB00806,D188050
DB00535,D166760
DB00829,D601042
DB00907,D147530
DB01275,D161900
DB01009,D208230
DB00598,D608622
DB00195,D137750
DB00651,D210050
DB00865,D303110
DB00282,D114480
DB00017,D602080
DB00909,D607682
DB00501,D109350
DB00320,D157300
DB01069,D608088
DB00380,D212350
DB01181,D109543
DB00489,D607554
DB01177,D223350
DB00282,D276300
DB00594,D608622
DB00852,D145590
DB00653,D189800
DB00741,D166760
DB00320,D145590
DB01204,D267730
DB14513,D190310
DB01219,D125310
DB00346,D147530
DB00461,D140600
DB01202,D608105
DB01029,D125850
DB01050,D150600
DB00736,D600263
DB00816,D600807
DB01050,D165720
DB00508,D147530
DB00734,D182830
DB01241,D144650
DB00242,D109543
DB00820,D161900
DB00654,D137760
DB00839,D125853
DB00195,D608622
DB00169,D266600
DB00444,D267730
DB01242,D164230
DB00635,D133600
DB00472,D607499
DB00678,D608622
DB00444,D247640
DB00273,D605021
DB00313,D104130
DB00790,D125310
DB01234,D145590
DB00541,D194070
DB01204,D126200
DB00747,D125320
DB00747,D168600
DB00905,D137750
DB00384,D203700
DB00585,D304790
DB00783,D102500
DB00883,D109350
DB01023,D179600
DB00575,D161900
DB00571,D110100
DB01203,D161900
DB00246,D137580
DB00624,D215470
DB00519,D161900
DB01113,D260570
DB00627,D144010
DB00996,D604827
DB00983,D208550
DB01181,D247640
DB01115,D161900
DB01104,D252320
DB00938,D208550
DB00167,D260970
DB00909,D300491
DB00695,D600351
DB00712,D153880
DB01033,D109543
DB04272,D310468
DB00136,D146255
DB00630,D102500
DB00257,D114580
DB00880,D210050
DB01248,D276300
DB00630,D602080
DB01367,D168100
DB00449,D137750
DB00201,D147530
DB00588,D208550
DB00651,D600807
DB00313,D239350
DB00622,D608622
DB00136,D277440
DB00180,D600807
DB00635,D208920
