drugID,diseaseID,label,split,count_drug,count_disease,q_score_PS,p_score_Target,p_score_Category,p_score_Conditions,p_score_Description,p_score_Mechanism,p_score_Pharmacodynamics,p_score_Smile,adj_q_score_PS,adj_p_score_Target,adj_p_score_Category,adj_p_score_Conditions,adj_p_score_Description,adj_p_score_Mechanism,adj_p_score_Pharmacodynamics,adj_p_score_Smile,coverage_count,num_preds
DB01169,D131200,0,train,9.0,1.0,0.0,0.0,0.1282051282051282,0.0,0.8299536,0.70337045,0.7210798,0.027027027027027,0.0,0.0,0.1282051282051282,0.0,0.8299536,0.70337045,0.7210798,0.027027027027027,5,0
DB00883,D607628,0,train,4.0,4.0,0.14882,0.0,0.04,0.0,0.80416,0.7344239,0.7423827,0.075,0.59528,0.0,0.16,0.0,3.21664,2.9376956,2.9695308,0.3,5,0
DB00755,D137800,0,train,1.0,1.0,0.090017,0.0,0.0943396226415094,0.0,0.8423316,0.70516634,0.7367877,0.034090909090909,0.090017,0.0,0.0943396226415094,0.0,0.8423316,0.70516634,0.7367877,0.034090909090909,5,0
DB00285,D151590,0,train,6.0,5.0,0.11193,0.0,0.1411764705882353,0.0,0.8384795,0.81362164,0.8411341,0.1216216216216216,0.6715800000000001,0.0,0.7058823529411764,0.0,4.1923975,4.0681082,4.2056705,0.608108108108108,5,0
DB00255,D146255,0,train,15.0,1.0,0.10964,0.3,0.2043010752688172,0.0,0.7252406,0.8678779,0.73888075,0.3431372549019608,1.6446,0.3,0.2043010752688172,0.0,0.7252406,0.8678779,0.73888075,0.3431372549019608,5,0
DB01275,D157700,0,train,8.0,1.0,0.1848,0.0,0.1363636363636363,0.0,0.8380457,0.7827469,0.85510683,0.1785714285714285,1.4784,0.0,0.1363636363636363,0.0,0.8380457,0.7827469,0.85510683,0.1785714285714285,5,0
DB01224,D270960,0,train,1.0,2.0,0.10607,0.0,0.0333333333333333,0.0,0.70357245,0.5660628,0.5741443,0.2230215827338129,0.10607,0.0,0.0666666666666666,0.0,1.4071449,1.1321256,1.1482886,0.4460431654676258,5,0
DB00338,D181500,0,train,18.0,1.0,0.021216,0.0,0.2236842105263158,0.0,0.8500388,0.77969325,0.85996985,0.1884057971014492,0.381888,0.0,0.2236842105263158,0.0,0.8500388,0.77969325,0.85996985,0.1884057971014492,5,0
DB00757,D107650,0,train,1.0,2.0,0.26852,0.0,0.1219512195121951,0.0,0.8070113,0.81850594,0.7752934,0.1752577319587628,0.26852,0.0,0.2439024390243902,0.0,1.6140226,1.63701188,1.5505868,0.3505154639175256,5,0
DB00449,D137800,0,train,1.0,2.0,0.14931,0.0,0.0,0.0,0.7323866,0.44827718,0.8227914,0.0659340659340659,0.14931,0.0,0.0,0.0,1.4647732,0.89655436,1.6455828,0.1318681318681318,5,0
DB00647,D236000,0,train,15.0,2.0,0.28267,0.1428571428571428,0.1636363636363636,0.0,0.84815115,0.86346054,0.82953995,0.2574850299401197,4.24005,0.2857142857142856,0.3272727272727272,0.0,1.6963023,1.72692108,1.6590799,0.5149700598802394,5,0
DB00346,D178600,0,train,5.0,3.0,0.20847,0.0444444444444444,0.1639344262295081,0.0,0.8205618,0.808473,0.84061384,0.1311475409836065,1.04235,0.1333333333333332,0.4918032786885243,0.0,2.4616854,2.425419,2.52184152,0.3934426229508195,5,0
DB01043,D135550,0,train,1.0,1.0,0.0,0.0,0.0652173913043478,0.0,0.71215683,0.77195543,0.77393794,0.0384615384615384,0.0,0.0,0.0652173913043478,0.0,0.71215683,0.77195543,0.77393794,0.0384615384615384,5,0
