drugID,diseaseID,label,split,count_drug,count_disease,q_score_PS,p_score_Target,p_score_Category,p_score_Conditions,p_score_Description,p_score_Mechanism,p_score_Pharmacodynamics,p_score_Smile,adj_q_score_PS,adj_p_score_Target,adj_p_score_Category,adj_p_score_Conditions,adj_p_score_Description,adj_p_score_Mechanism,adj_p_score_Pharmacodynamics,adj_p_score_Smile
DB00215,D225740,1,train,4.0,8.0,0.24916,0.0,0.135593220338983,0.0,0.75957954,0.8265785,0.73340416,0.1195652173913043,0.99664,0.0,1.084745762711864,0.0,6.07663632,6.612628,5.86723328,0.9565217391304344
DB00007,D175510,1,train,0.0,6.0,0.21261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00733,D608033,1,train,2.0,5.0,0.21487,0.0,0.0377358490566037,0.0,0.7981522,0.7492391,0.77238244,0.0786516853932584,0.42974,0.0,0.1886792452830185,0.0,3.990761,3.7461955,3.8619122,0.393258426966292
DB01403,D600351,1,train,15.0,2.0,0.13535,0.4210526315789473,0.2698412698412698,0.0,0.86128545,0.88628125,0.8005769,0.2037037037037037,2.03025,0.8421052631578946,0.5396825396825397,0.0,1.7225709,1.7725625,1.6011538,0.4074074074074074
DB00788,D125310,1,train,7.0,2.0,0.30083,0.3333333333333333,0.4081632653061224,0.0,0.9441723,0.87707573,0.8427608,0.2531645569620253,2.10581,0.6666666666666666,0.8163265306122448,0.0,1.8883446,1.75415146,1.6855216,0.5063291139240506
DB00333,D300494,1,train,2.0,2.0,0.26106,0.0,0.1298701298701298,0.0,0.72510284,0.80400825,0.81690717,0.1219512195121951,0.52212,0.0,0.2597402597402596,0.0,1.45020568,1.6080165,1.63381434,0.2439024390243902
DB00482,D161900,1,train,69.0,1.0,0.18847,0.1428571428571428,0.3061224489795918,0.0,0.8803085,0.88141084,0.87277937,0.2711864406779661,13.00443,0.1428571428571428,0.3061224489795918,0.0,0.8803085,0.88141084,0.87277937,0.2711864406779661
DB00499,D208230,1,train,15.0,3.0,0.43415,0.25,0.3,0.0,0.8267148,0.86071426,0.85543686,0.1477272727272727,6.51225,0.75,0.8999999999999999,0.0,2.4801444,2.58214278,2.56631058,0.4431818181818181
DB00694,D166300,1,train,3.0,8.0,0.28418,0.0,0.196078431372549,0.0,0.90779185,0.851564,0.8779801,0.1461538461538461,0.85254,0.0,1.568627450980392,0.0,7.2623348,6.812512,7.0238408,1.1692307692307689
DB01233,D166760,1,train,6.0,13.0,0.3602,0.125,0.1111111111111111,0.0,0.9116136,0.8615196,0.83323324,0.175438596491228,2.1612,1.625,1.4444444444444444,0.0,11.8509768,11.1997548,10.83203212,2.280701754385964
DB00904,D601682,1,train,7.0,3.0,0.47652,0.0,0.125,0.0,0.8112955,0.83209056,0.7692728,0.2314814814814814,3.33564,0.0,0.375,0.0,2.4338865,2.49627168,2.3078184,0.6944444444444442
DB00302,D134510,1,train,0.0,3.0,0.38799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00252,D165199,1,train,5.0,2.0,0.11343,0.4848484848484848,0.1074380165289256,0.0,0.9375424,0.7561685,0.74935997,0.2365591397849462,0.56715,0.9696969696969696,0.2148760330578512,0.0,1.8750848,1.512337,1.49871994,0.4731182795698924
DB01260,D600496,1,train,11.0,3.0,0.89132,0.0,0.0697674418604651,0.0,0.78914785,0.7959001,0.79724324,0.1354838709677419,9.80452,0.0,0.2093023255813953,0.0,2.36744355,2.3877003,2.39172972,0.4064516129032257
DB00285,D147530,1,train,59.0,4.0,0.13694,0.3333333333333333,0.3181818181818182,0.0,0.8706254,0.86666703,0.8891857,0.4155844155844156,8.079460000000001,1.3333333333333333,1.2727272727272727,0.0,3.4825016,3.46666812,3.5567428,1.6623376623376624
DB00433,D606703,1,train,0.0,7.0,0.32873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00468,D109100,1,train,6.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.79335743,0.7609347,0.8363156,0.1416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00996,D601626,1,train,8.0,12.0,0.36818,0.0,0.0975609756097561,0.0,0.90986055,0.78489625,0.82569915,0.1122448979591836,2.94544,0.0,1.170731707317073,0.0,10.9183266,9.418755,9.9083898,1.3469387755102034
DB00852,D155601,1,train,4.0,2.0,0.40191,0.0,0.0526315789473684,0.0,0.88347876,0.832653,0.6832478,0.2295081967213114,1.60764,0.0,0.1052631578947368,0.0,1.76695752,1.665306,1.3664956,0.4590163934426228
DB00652,D127350,1,train,0.0,4.0,0.075832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00515,D146255,1,train,14.0,2.0,0.38439,0.0,0.1276595744680851,0.0,0.8489145,0.87894225,0.89155185,0.0273972602739726,5.381460000000001,0.0,0.2553191489361702,0.0,1.697829,1.7578845,1.7831037,0.0547945205479452
DB00995,D102300,1,train,7.0,11.0,0.32992,0.0,0.1153846153846153,0.0,0.8090738,0.74462485,0.7747004,0.081081081081081,2.30944,0.0,1.2692307692307685,0.0,8.8998118,8.19087335,8.521704399999999,0.891891891891891
DB00936,D264120,1,train,7.0,1.0,0.22348,0.6666666666666666,0.3255813953488372,0.0,0.71918976,0.82813656,0.8346007,0.25,1.5643600000000002,0.6666666666666666,0.3255813953488372,0.0,0.71918976,0.82813656,0.8346007,0.25
DB00542,D114500,1,train,3.0,3.0,0.44266,0.0,0.0638297872340425,0.0,0.81945014,0.8045973,0.7668181,0.3166666666666666,1.32798,0.0,0.1914893617021275,0.0,2.4583504200000004,2.4137919,2.3004543,0.9499999999999996
DB00995,D607682,1,train,4.0,11.0,0.99938,0.0,0.05,0.0,0.71785116,0.73072475,0.7063077,0.1641791044776119,3.99752,0.0,0.55,0.0,7.896362760000001,8.037972250000001,7.7693847,1.8059701492537308
DB00989,D114480,1,train,13.0,0.0,0.0,0.5,0.3225806451612903,0.0,0.9759848,0.84811217,0.8486709,0.2205882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
