DB_DrugID,DB_DrugName,CTD_ChemicalName,CTD_ChemicalID,DiseaseID,DiseaseName
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D001008,Anxiety Disorders
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D001037,Aphasia
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D001714,Bipolar Disorder
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D003866,Depressive Disorder
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D020820,Dyskinesias
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D006212,Hallucinations
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D006561,Herpes Simplex
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D006948,Hyperkinesis
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D007970,Leukopenia
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D003865,Major Depressive Disorder
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D008569,Memory Disorders
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D001523,Mental Disorders
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D008881,Migraine Disorders
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D019964,Mood Disorders
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D010259,Paranoid Disorders
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D020795,Photophobia
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D011507,Proteinuria
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D011595,Psychomotor Agitation
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D011618,Psychotic Disorders
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D012559,Schizophrenia
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D007319,Sleep Initiation and Maintenance Disorders
DB14509,Lithium carbonate,Lithium Carbonate,D016651,MESH:D013971,Thyrotoxicosis
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D000437,Alcoholism
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D018771,Arthralgia
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D001259,Ataxia
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D001714,Bipolar Disorder
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D002524,Cerebellar Ataxia
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D019970,Cocaine-Related Disorders
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D003928,Diabetic Nephropathies
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D003929,Diabetic Neuropathies
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D004421,Dystonia
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D004827,Epilepsy
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D004916,Erythromelalgia
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D020329,Essential Tremor
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D006930,Hyperalgesia
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D006965,Hyperplasia
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D000860,Hypoxia
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D007249,Inflammation
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D043183,Irritable Bowel Syndrome
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D007889,Leiomyoma
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D008881,Migraine Disorders
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D009135,Muscular Diseases
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D009410,Nerve Degeneration
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D009437,Neuralgia
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D010146,Pain
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D010243,Paralysis
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D010292,Paresthesia
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D010300,Parkinson Disease
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D011115,Polyneuropathies
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D011164,Porphyrias
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D010149,Postoperative Pain
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D012148,Restless Legs Syndrome
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D012640,Seizures
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D020886,Somatosensory Disorders
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D020754,Spinocerebellar Ataxias
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D014202,Tremor
DB00996,Gabapentin,Gabapentin,D000077206,MESH:D014277,Trigeminal Neuralgia
DB00740,Riluzole,Riluzole,D019782,MESH:D000690,Amyotrophic Lateral Sclerosis
DB00740,Riluzole,Riluzole,D019782,MESH:D006948,Hyperkinesis
DB00740,Riluzole,Riluzole,D019782,MESH:D007511,Ischemia
DB00740,Riluzole,Riluzole,D019782,MESH:D020149,Manganese Poisoning
DB00740,Riluzole,Riluzole,D019782,MESH:D009069,Movement Disorders
DB00740,Riluzole,Riluzole,D019782,MESH:D009336,Necrosis
DB00740,Riluzole,Riluzole,D019782,MESH:D009410,Nerve Degeneration
DB00740,Riluzole,Riluzole,D019782,MESH:D010146,Pain
DB00740,Riluzole,Riluzole,D019782,MESH:D012164,Retinal Diseases
DB00740,Riluzole,Riluzole,D019782,MESH:D012178,Retinopathy of Prematurity
DB00740,Riluzole,Riluzole,D019782,MESH:D012640,Seizures
DB01083,Orlistat,Orlistat,D000077403,MESH:D050197,Atherosclerosis
DB01083,Orlistat,Orlistat,D000077403,MESH:D001943,Breast Neoplasms
DB01083,Orlistat,Orlistat,D000077403,MESH:D063646,Carcinogenesis
DB01083,Orlistat,Orlistat,D000077403,MESH:D002277,Carcinoma
DB01083,Orlistat,Orlistat,D000077403,MESH:D015179,Colorectal Neoplasms
DB01083,Orlistat,Orlistat,D000077403,MESH:D048909,Diabetes Complications
DB01083,Orlistat,Orlistat,D000077403,MESH:D005234,Fatty Liver
DB01083,Orlistat,Orlistat,D000077403,MESH:D006333,Heart Failure
DB01083,Orlistat,Orlistat,D000077403,MESH:D006529,Hepatomegaly
DB01083,Orlistat,Orlistat,D000077403,MESH:D006932,Hyperbilirubinemia
DB01083,Orlistat,Orlistat,D000077403,MESH:D006937,Hypercholesterolemia
DB01083,Orlistat,Orlistat,D000077403,MESH:D006949,Hyperlipidemias
DB01083,Orlistat,Orlistat,D000077403,MESH:D006973,Hypertension
DB01083,Orlistat,Orlistat,D000077403,MESH:D015228,Hypertriglyceridemia
DB01083,Orlistat,Orlistat,D000077403,MESH:D007249,Inflammation
DB01083,Orlistat,Orlistat,D000077403,MESH:D007333,Insulin Resistance
DB01083,Orlistat,Orlistat,D000077403,MESH:D008103,Liver Cirrhosis
DB01083,Orlistat,Orlistat,D000077403,MESH:D008207,Lymphatic Metastasis
DB01083,Orlistat,Orlistat,D000077403,MESH:D008545,Melanoma
DB01083,Orlistat,Orlistat,D000077403,MESH:D024821,Metabolic Syndrome
DB01083,Orlistat,Orlistat,D000077403,MESH:D009164,Mycobacterium Infections
DB01083,Orlistat,Orlistat,D000077403,MESH:D009369,Neoplasms
DB01083,Orlistat,Orlistat,D000077403,MESH:D065626,Non-alcoholic Fatty Liver Disease
DB01083,Orlistat,Orlistat,D000077403,MESH:D009765,Obesity
DB01083,Orlistat,Orlistat,D000077403,MESH:D011085,Polycystic Ovary Syndrome
DB01083,Orlistat,Orlistat,D000077403,MESH:D011471,Prostatic Neoplasms
DB01083,Orlistat,Orlistat,D000077403,MESH:D012035,Refsum Disease
DB01083,Orlistat,Orlistat,D000077403,MESH:D012769,Shock
DB01083,Orlistat,Orlistat,D000077403,MESH:D013274,Stomach Neoplasms
DB01083,Orlistat,Orlistat,D000077403,MESH:D015430,Weight Gain
DB00759,Tetracycline,Tetracycline,D013752,MESH:D000152,Acne Vulgaris
DB00759,Tetracycline,Tetracycline,D013752,MESH:D050197,Atherosclerosis
DB00759,Tetracycline,Tetracycline,D013752,MESH:D002006,Brucellosis
DB00759,Tetracycline,Tetracycline,D013752,MESH:D003560,Cysts
DB00759,Tetracycline,Tetracycline,D013752,MESH:D003967,Diarrhea
DB00759,Tetracycline,Tetracycline,D013752,MESH:D004927,Escherichia coli Infections
DB00759,Tetracycline,Tetracycline,D013752,MESH:D016481,Helicobacter Infections
DB00759,Tetracycline,Tetracycline,D013752,MESH:D006965,Hyperplasia
DB00759,Tetracycline,Tetracycline,D013752,MESH:D007249,Inflammation
DB00759,Tetracycline,Tetracycline,D013752,MESH:D008288,Malaria
DB00759,Tetracycline,Tetracycline,D013752,MESH:D008679,Metaplasia
DB00759,Tetracycline,Tetracycline,D013752,MESH:D009336,Necrosis
DB00759,Tetracycline,Tetracycline,D013752,MESH:D010518,Periodontitis
DB00759,Tetracycline,Tetracycline,D013752,MESH:D010996,Pleural Effusion
DB00759,Tetracycline,Tetracycline,D013752,MESH:D011008,Pneumococcal Infections
DB00759,Tetracycline,Tetracycline,D013752,MESH:D011230,Precancerous Conditions
DB00759,Tetracycline,Tetracycline,D013752,MESH:D017096,Prion Diseases
DB00759,Tetracycline,Tetracycline,D013752,MESH:D011565,Psoriasis
DB00759,Tetracycline,Tetracycline,D013752,MESH:D011704,Pyelonephritis
DB00759,Tetracycline,Tetracycline,D013752,MESH:D012141,Respiratory Tract Infections
DB00759,Tetracycline,Tetracycline,D013752,MESH:D012393,Rosacea
DB00759,Tetracycline,Tetracycline,D013752,MESH:D013203,Staphylococcal Infections
DB00759,Tetracycline,Tetracycline,D013752,MESH:D013959,Thyroid Diseases
DB00819,Acetazolamide,Acetazolamide,D000086,MESH:D000471,Alkalosis
DB00819,Acetazolamide,Acetazolamide,D000086,MESH:D001259,Ataxia
DB00819,Acetazolamide,Acetazolamide,D000086,MESH:D001929,Brain Edema
DB00819,Acetazolamide,Acetazolamide,D000086,MESH:D002524,Cerebellar Ataxia
